Word	Pronunciation	Definition
粗心	cu1 xin1	careless; thoughtless
错	cuo4	mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[ge4]
答案	da2 an4	answer; solution; CL:個|个[ge4]
打扮	da3 ban5	to decorate; to dress; to make up; to adorn; manner of dressing; style of dress
打电话	da3 dian4 hua4	to make a telephone call
打篮球	da3 lan2 qiu2	play basketball
打扰	da3 rao3	to disturb; to bother; to trouble
打扫	da3 sao3	to clean; to sweep
打算	da3 suan4	to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[ge4]
打印	da3 yin4	to print; to seal; to stamp
打折	da3 zhe2	to give a discount
打针	da3 zhen1	to give or have an injection
大	da4	big; huge; large; major; great; wide; deep; oldest; eldest
大概	da4 gai4	roughly; probably; rough; approximate; about
大家	da4 jia1	authority; everyone
大使馆	da4 shi3 guan3	embassy; CL:座[zuo4],個|个[ge4]
大约	da4 yue1	approximately; about
带	dai4	band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to lead; to bring; to look after; to raise
戴	dai4	to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support
代表	dai4 biao3	representative; delegate; CL:位[wei4],個|个[ge4],名[ming2]; to represent; to stand for; on behalf of; in the name of
代替	dai4 ti4	instead; to replace; to substitute (X for Y, or a number in an algebraic expression)
大夫	dai4 fu5	doctor; minister of state (in pre-Han states); CL:個|个[ge4],位[wei4]
担心	dan1 xin1	anxious; worried; uneasy; to worry; to be anxious
蛋糕	dan4 gao1	cake; CL:塊|块[kuai4],個|个[ge4]
但是	dan4 shi4	but; however
当	dang1	to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at
当地	dang1 di4	local
当然	dang1 ran2	only natural; as it should be; certainly; of course; without doubt
当时	dang1 shi2	then; at that time; while
刀	dao1	knife; CL:把[ba3]
导游	dao3 you2	tour guide; to conduct a tour; a guidebook
到	dao4	to (a place); until (a time); up to; to go; to arrive
到处	dao4 chu4	in all places; everywhere
